date,market,ticker,entry_date,entry_price,exit_price,shares,pnl,pnl_pct,exit_reason,days_held,score
2026-04-01,jp,7012,2026-04-01,2897.0,3168,200,54200.0,9.35,RSI回復(85.5),2,77
2026-04-01,jp,6113,2026-04-01,2161.0,2272.5,200,22300.0,5.16,RSI回復(72.7),2,77
